MCH.Merchant Name,FIN.Transaction Amount,FIN.Transaction Date
GFS MKTPLC #0868 QPS,91.34,6/14/2010
GFS MKTPLC #0868 QPS,25.86,6/14/2010
A PLUS WAREHOUSE EQUIP,719.83,6/17/2010
SEARS ROEBUCK 1390,474.99,6/17/2010
APL*APPLEONLINESTOREUS,1757.48,6/17/2010
APL*APPLEONLINESTOREUS,878.74,6/17/2010
TARGET 00014654,60.92,6/18/2010
GFS MKTPLC #0174 QPS,117.62,6/18/2010
MARRIOTT HOTELS #58 F/,17.84,6/18/2010
HILTON HOTELS ADV DEP,250.47,6/18/2010
INTUIT *18004INTUIT,225,6/18/2010
POLICE TECHNICAL TRAIN,650,6/18/2010
LOWES #00734*,26.41,6/18/2010
TARGET 00012856,230.76,6/18/2010
GFS MKTPLC #0868 QPS,225.51,6/18/2010
JOANN ETC #2004,93.09,6/18/2010
SWIMOUTLET.COM,45,6/18/2010
RECREATION SUPPLY COMP,1591.4,6/18/2010
KNUTSONS RECREATIONAL,76.48,6/18/2010
BEST BUY MHT 00004085,686.8,6/18/2010
BEST BUY MHT 00004085,-38.88,6/18/2010
BEST BUY MHT 00004085,196.97,6/18/2010
TRI TURF,660,6/18/2010
SPARTAN DISTRIBUTORS,74.66,6/18/2010
CARPENTER BROS HAR,60.16,6/18/2010
LOWES #00734*,73.74,6/18/2010
JOHN DEERE LANDSCAPES0,305.53,6/18/2010
BRUEGGERS #147 QAE,20.88,6/18/2010
OLD TOWN TAVERN,65.59,6/18/2010
MARINE CORP ASSOC-PD,333.31,6/18/2010
THE HOME DEPOT 2721,18.91,6/18/2010
VERISIGN INC*DIGITALID,995,6/18/2010
CSN*SEATING BARGAINS.C,1738,6/18/2010
SPORTSCOUNTERS.COM,157.95,6/19/2010
THE SCRAP BOX,33.5,6/19/2010
CHELSEA LUMBER CO.,41.73,6/19/2010
VOGELS AND FOSTERS,154.99,6/19/2010
BIG FITNESS,978.26,6/19/2010
THE LIFEGUARD STORE,644,6/21/2010
CLEARWATER POOLS & SER,85.76,6/21/2010
USPS 25028101030400QPS,4.48,6/21/2010
MASTER TECH APPLIANCE,27.25,6/21/2010
MASTER TECH APPLIANCE,27.25,6/21/2010
TARGET 00012856,39.56,6/21/2010
GOLD STAR PRODUCTS,2323,6/21/2010
THE LIFEGUARD STORE,2815,6/21/2010
THE LIFEGUARD STORE,425,6/21/2010
PAYPAL *WWWFLAGHCOM,29.95,6/21/2010
S&S WORLDWIDE,745.71,6/21/2010
THE LIFEGUARD STORE,629.5,6/21/2010
TRADER JOE'S # 678,37.86,6/21/2010
ZINGERMAN'S BAKEHOUSE,122.4,6/21/2010
KMART 4105,35.75,6/21/2010
RIEDELL SHOES INC,2471,6/21/2010
LOWES #00734*,56.4,6/21/2010
TRACTOR-SUPPLY-CO #053,39.99,6/21/2010
GFS MKTPLC #0868 QPS,28,6/21/2010
MEIJER INC #027 Q01,26.18,6/21/2010
FASTENAL CO-MO/TO,35.71,6/21/2010
KROGER #689 Q66,2.99,6/21/2010
PAYPAL *RADIOREFERE,30,6/21/2010
CORRIGAN OIL CO NO 2,582.24,6/21/2010
CORRIGAN OIL CO NO 2,296.7,6/21/2010
BEST BUY MHT 00004085,590.85,6/21/2010
WW GRAINGER,10.07,6/21/2010
FASTENAL CO-RETAIL,50.71,6/21/2010
ANN ARBOR WELDING SUPP,22.72,6/21/2010
THE HOME DEPOT 2721,19.94,6/21/2010
VERISIGN INC*DIGITALID,399,6/21/2010
DUNHAMS SPORTS00000265,219.98,6/22/2010
USPS 25028101030400QPS,26.4,6/22/2010
FAMOUS DAVES,381.28,6/22/2010
ELECTRO-OPTIX INC.,37.5,6/22/2010
DUNHAMS SPORTS00000265,49.93,6/22/2010
MILLCREEK SPORT CENT,211.49,6/22/2010
